feature_id	chromosome	summary_file	sample_size
AAGAB.Cells_Cultured_fibroblasts	15	../summary/WH_GTEx/AAGAB.Cells_Cultured_fibroblasts	AUTO
ABCB9.Cells_Cultured_fibroblasts	12	../summary/WH_GTEx/ABCB9.Cells_Cultured_fibroblasts	AUTO
ABCB9.Skin_Not_Sun_Exposed_Suprapubic	12	../summary/WH_GTEx/ABCB9.Skin_Not_Sun_Exposed_Suprapubic	AUTO
AC131097.4.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/AC131097.4.Skin_Not_Sun_Exposed_Suprapubic	AUTO
ACTR1A.Skin_Sun_Exposed_Lower_leg	10	../summary/WH_GTEx/ACTR1A.Skin_Sun_Exposed_Lower_leg	AUTO
AHI1.Cells_Cultured_fibroblasts	6	../summary/WH_GTEx/AHI1.Cells_Cultured_fibroblasts	AUTO
AHI1.Cells_EBV-transformed_lymphocytes	6	../summary/WH_GTEx/AHI1.Cells_EBV-transformed_lymphocytes	AUTO
AHI1.Skin_Not_Sun_Exposed_Suprapubic	6	../summary/WH_GTEx/AHI1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
AHI1.Skin_Sun_Exposed_Lower_leg	6	../summary/WH_GTEx/AHI1.Skin_Sun_Exposed_Lower_leg	AUTO
AHI1.Whole_Blood	6	../summary/WH_GTEx/AHI1.Whole_Blood	AUTO
AHNAK2.Skin_Not_Sun_Exposed_Suprapubic	14	../summary/WH_GTEx/AHNAK2.Skin_Not_Sun_Exposed_Suprapubic	AUTO
AHSA2.Cells_Cultured_fibroblasts	2	../summary/WH_GTEx/AHSA2.Cells_Cultured_fibroblasts	AUTO
AHSA2.Cells_EBV-transformed_lymphocytes	2	../summary/WH_GTEx/AHSA2.Cells_EBV-transformed_lymphocytes	AUTO
AHSA2.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/AHSA2.Skin_Not_Sun_Exposed_Suprapubic	AUTO
AHSA2.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/AHSA2.Skin_Sun_Exposed_Lower_leg	AUTO
AHSA2.Whole_Blood	2	../summary/WH_GTEx/AHSA2.Whole_Blood	AUTO
ANKRD44.Cells_Cultured_fibroblasts	2	../summary/WH_GTEx/ANKRD44.Cells_Cultured_fibroblasts	AUTO
ANKRD44.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/ANKRD44.Skin_Not_Sun_Exposed_Suprapubic	AUTO
ANKRD44.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/ANKRD44.Skin_Sun_Exposed_Lower_leg	AUTO
AP5B1.Skin_Not_Sun_Exposed_Suprapubic	11	../summary/WH_GTEx/AP5B1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
AP5B1.Skin_Sun_Exposed_Lower_leg	11	../summary/WH_GTEx/AP5B1.Skin_Sun_Exposed_Lower_leg	AUTO
ARAP3.Cells_Cultured_fibroblasts	5	../summary/WH_GTEx/ARAP3.Cells_Cultured_fibroblasts	AUTO
ARFRP1.Cells_Cultured_fibroblasts	20	../summary/WH_GTEx/ARFRP1.Cells_Cultured_fibroblasts	AUTO
ARFRP1.Whole_Blood	20	../summary/WH_GTEx/ARFRP1.Whole_Blood	AUTO
ARHGAP15.Whole_Blood	2	../summary/WH_GTEx/ARHGAP15.Whole_Blood	AUTO
BANF1.Cells_Cultured_fibroblasts	11	../summary/WH_GTEx/BANF1.Cells_Cultured_fibroblasts	AUTO
BANF1.Skin_Not_Sun_Exposed_Suprapubic	11	../summary/WH_GTEx/BANF1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
BANF1.Skin_Sun_Exposed_Lower_leg	11	../summary/WH_GTEx/BANF1.Skin_Sun_Exposed_Lower_leg	AUTO
BBS12.Cells_Cultured_fibroblasts	4	../summary/WH_GTEx/BBS12.Cells_Cultured_fibroblasts	AUTO
C12orf65.Cells_Cultured_fibroblasts	12	../summary/WH_GTEx/C12orf65.Cells_Cultured_fibroblasts	AUTO
C12orf65.Skin_Not_Sun_Exposed_Suprapubic	12	../summary/WH_GTEx/C12orf65.Skin_Not_Sun_Exposed_Suprapubic	AUTO
C12orf65.Skin_Sun_Exposed_Lower_leg	12	../summary/WH_GTEx/C12orf65.Skin_Sun_Exposed_Lower_leg	AUTO
C2orf74.Cells_Cultured_fibroblasts	2	../summary/WH_GTEx/C2orf74.Cells_Cultured_fibroblasts	AUTO
C2orf74.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/C2orf74.Skin_Not_Sun_Exposed_Suprapubic	AUTO
C2orf74.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/C2orf74.Skin_Sun_Exposed_Lower_leg	AUTO
C2orf74.Whole_Blood	2	../summary/WH_GTEx/C2orf74.Whole_Blood	AUTO
C5orf56.Cells_EBV-transformed_lymphocytes	5	../summary/WH_GTEx/C5orf56.Cells_EBV-transformed_lymphocytes	AUTO
C5orf56.Skin_Not_Sun_Exposed_Suprapubic	5	../summary/WH_GTEx/C5orf56.Skin_Not_Sun_Exposed_Suprapubic	AUTO
C5orf56.Skin_Sun_Exposed_Lower_leg	5	../summary/WH_GTEx/C5orf56.Skin_Sun_Exposed_Lower_leg	AUTO
C6orf163.Cells_EBV-transformed_lymphocytes	6	../summary/WH_GTEx/C6orf163.Cells_EBV-transformed_lymphocytes	AUTO
C6orf163.Whole_Blood	6	../summary/WH_GTEx/C6orf163.Whole_Blood	AUTO
CAMK2G.Cells_Cultured_fibroblasts	10	../summary/WH_GTEx/CAMK2G.Cells_Cultured_fibroblasts	AUTO
CAMK4.Cells_EBV-transformed_lymphocytes	5	../summary/WH_GTEx/CAMK4.Cells_EBV-transformed_lymphocytes	AUTO
CAMKK2.Whole_Blood	12	../summary/WH_GTEx/CAMKK2.Whole_Blood	AUTO
CASC3.Cells_Cultured_fibroblasts	17	../summary/WH_GTEx/CASC3.Cells_Cultured_fibroblasts	AUTO
CASC3.Whole_Blood	17	../summary/WH_GTEx/CASC3.Whole_Blood	AUTO
CCL20.Whole_Blood	2	../summary/WH_GTEx/CCL20.Whole_Blood	AUTO
CCNI2.Cells_Cultured_fibroblasts	5	../summary/WH_GTEx/CCNI2.Cells_Cultured_fibroblasts	AUTO
CCNI2.Cells_EBV-transformed_lymphocytes	5	../summary/WH_GTEx/CCNI2.Cells_EBV-transformed_lymphocytes	AUTO
CD200R1.Cells_Cultured_fibroblasts	3	../summary/WH_GTEx/CD200R1.Cells_Cultured_fibroblasts	AUTO
CD200R1.Whole_Blood	3	../summary/WH_GTEx/CD200R1.Whole_Blood	AUTO
CD207.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/CD207.Skin_Sun_Exposed_Lower_leg	AUTO
CDC42SE2.Skin_Not_Sun_Exposed_Suprapubic	5	../summary/WH_GTEx/CDC42SE2.Skin_Not_Sun_Exposed_Suprapubic	AUTO
CDCA4.Cells_Cultured_fibroblasts	14	../summary/WH_GTEx/CDCA4.Cells_Cultured_fibroblasts	AUTO
CDCA4.Whole_Blood	14	../summary/WH_GTEx/CDCA4.Whole_Blood	AUTO
CDK2AP1.Cells_Cultured_fibroblasts	12	../summary/WH_GTEx/CDK2AP1.Cells_Cultured_fibroblasts	AUTO
CDK2AP1.Skin_Not_Sun_Exposed_Suprapubic	12	../summary/WH_GTEx/CDK2AP1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
CDK2AP1.Skin_Sun_Exposed_Lower_leg	12	../summary/WH_GTEx/CDK2AP1.Skin_Sun_Exposed_Lower_leg	AUTO
CEP19.Whole_Blood	3	../summary/WH_GTEx/CEP19.Whole_Blood	AUTO
CHD4.Skin_Not_Sun_Exposed_Suprapubic	12	../summary/WH_GTEx/CHD4.Skin_Not_Sun_Exposed_Suprapubic	AUTO
CHP1.Cells_Cultured_fibroblasts	15	../summary/WH_GTEx/CHP1.Cells_Cultured_fibroblasts	AUTO
CHP1.Skin_Sun_Exposed_Lower_leg	15	../summary/WH_GTEx/CHP1.Skin_Sun_Exposed_Lower_leg	AUTO
CHP1.Whole_Blood	15	../summary/WH_GTEx/CHP1.Whole_Blood	AUTO
CRAT.Cells_Cultured_fibroblasts	9	../summary/WH_GTEx/CRAT.Cells_Cultured_fibroblasts	AUTO
CRAT.Cells_EBV-transformed_lymphocytes	9	../summary/WH_GTEx/CRAT.Cells_EBV-transformed_lymphocytes	AUTO
CRAT.Skin_Not_Sun_Exposed_Suprapubic	9	../summary/WH_GTEx/CRAT.Skin_Not_Sun_Exposed_Suprapubic	AUTO
CRAT.Whole_Blood	9	../summary/WH_GTEx/CRAT.Whole_Blood	AUTO
CRCT1.Skin_Not_Sun_Exposed_Suprapubic	1	../summary/WH_GTEx/CRCT1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
CRCT1.Skin_Sun_Exposed_Lower_leg	1	../summary/WH_GTEx/CRCT1.Skin_Sun_Exposed_Lower_leg	AUTO
CRNN.Skin_Not_Sun_Exposed_Suprapubic	1	../summary/WH_GTEx/CRNN.Skin_Not_Sun_Exposed_Suprapubic	AUTO
CRNN.Skin_Sun_Exposed_Lower_leg	1	../summary/WH_GTEx/CRNN.Skin_Sun_Exposed_Lower_leg	AUTO
D2HGDH.Cells_Cultured_fibroblasts	2	../summary/WH_GTEx/D2HGDH.Cells_Cultured_fibroblasts	AUTO
D2HGDH.Cells_EBV-transformed_lymphocytes	2	../summary/WH_GTEx/D2HGDH.Cells_EBV-transformed_lymphocytes	AUTO
D2HGDH.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/D2HGDH.Skin_Not_Sun_Exposed_Suprapubic	AUTO
D2HGDH.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/D2HGDH.Skin_Sun_Exposed_Lower_leg	AUTO
D2HGDH.Whole_Blood	2	../summary/WH_GTEx/D2HGDH.Whole_Blood	AUTO
DCST2.Skin_Sun_Exposed_Lower_leg	1	../summary/WH_GTEx/DCST2.Skin_Sun_Exposed_Lower_leg	AUTO
DDX6.Cells_Cultured_fibroblasts	11	../summary/WH_GTEx/DDX6.Cells_Cultured_fibroblasts	AUTO
DDX6.Skin_Sun_Exposed_Lower_leg	11	../summary/WH_GTEx/DDX6.Skin_Sun_Exposed_Lower_leg	AUTO
DDX6.Whole_Blood	11	../summary/WH_GTEx/DDX6.Whole_Blood	AUTO
DTYMK.Whole_Blood	2	../summary/WH_GTEx/DTYMK.Whole_Blood	AUTO
EFEMP2.Cells_Cultured_fibroblasts	11	../summary/WH_GTEx/EFEMP2.Cells_Cultured_fibroblasts	AUTO
EFEMP2.Whole_Blood	11	../summary/WH_GTEx/EFEMP2.Whole_Blood	AUTO
EIF1AD.Cells_Cultured_fibroblasts	11	../summary/WH_GTEx/EIF1AD.Cells_Cultured_fibroblasts	AUTO
EIF1AD.Skin_Not_Sun_Exposed_Suprapubic	11	../summary/WH_GTEx/EIF1AD.Skin_Not_Sun_Exposed_Suprapubic	AUTO
EIF1AD.Skin_Sun_Exposed_Lower_leg	11	../summary/WH_GTEx/EIF1AD.Skin_Sun_Exposed_Lower_leg	AUTO
ELAC1.Skin_Sun_Exposed_Lower_leg	18	../summary/WH_GTEx/ELAC1.Skin_Sun_Exposed_Lower_leg	AUTO
ENSA.Whole_Blood	1	../summary/WH_GTEx/ENSA.Whole_Blood	AUTO
EP300.Skin_Not_Sun_Exposed_Suprapubic	22	../summary/WH_GTEx/EP300.Skin_Not_Sun_Exposed_Suprapubic	AUTO
ERBB2.Skin_Not_Sun_Exposed_Suprapubic	17	../summary/WH_GTEx/ERBB2.Skin_Not_Sun_Exposed_Suprapubic	AUTO
ERBB2.Skin_Sun_Exposed_Lower_leg	17	../summary/WH_GTEx/ERBB2.Skin_Sun_Exposed_Lower_leg	AUTO
FAM114A1.Cells_Cultured_fibroblasts	4	../summary/WH_GTEx/FAM114A1.Cells_Cultured_fibroblasts	AUTO
FAM114A1.Skin_Sun_Exposed_Lower_leg	4	../summary/WH_GTEx/FAM114A1.Skin_Sun_Exposed_Lower_leg	AUTO
FAM114A1.Whole_Blood	4	../summary/WH_GTEx/FAM114A1.Whole_Blood	AUTO
FAM117B.Whole_Blood	2	../summary/WH_GTEx/FAM117B.Whole_Blood	AUTO
FAM134C.Skin_Not_Sun_Exposed_Suprapubic	17	../summary/WH_GTEx/FAM134C.Skin_Not_Sun_Exposed_Suprapubic	AUTO
FAM134C.Skin_Sun_Exposed_Lower_leg	17	../summary/WH_GTEx/FAM134C.Skin_Sun_Exposed_Lower_leg	AUTO
FAM177A1.Skin_Not_Sun_Exposed_Suprapubic	14	../summary/WH_GTEx/FAM177A1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
FAM177A1.Skin_Sun_Exposed_Lower_leg	14	../summary/WH_GTEx/FAM177A1.Skin_Sun_Exposed_Lower_leg	AUTO
FBXW2.Cells_Cultured_fibroblasts	9	../summary/WH_GTEx/FBXW2.Cells_Cultured_fibroblasts	AUTO
FLG.Cells_Cultured_fibroblasts	1	../summary/WH_GTEx/FLG.Cells_Cultured_fibroblasts	AUTO
FLG.Skin_Not_Sun_Exposed_Suprapubic	1	../summary/WH_GTEx/FLG.Skin_Not_Sun_Exposed_Suprapubic	AUTO
FLG.Skin_Sun_Exposed_Lower_leg	1	../summary/WH_GTEx/FLG.Skin_Sun_Exposed_Lower_leg	AUTO
FLG2.Cells_Cultured_fibroblasts	1	../summary/WH_GTEx/FLG2.Cells_Cultured_fibroblasts	AUTO
FOSL1.Skin_Sun_Exposed_Lower_leg	11	../summary/WH_GTEx/FOSL1.Skin_Sun_Exposed_Lower_leg	AUTO
FOSL2.Cells_Cultured_fibroblasts	2	../summary/WH_GTEx/FOSL2.Cells_Cultured_fibroblasts	AUTO
GAL3ST2.Skin_Not_Sun_Exposed_Suprapubic	2	../summary/WH_GTEx/GAL3ST2.Skin_Not_Sun_Exposed_Suprapubic	AUTO
GAL3ST2.Skin_Sun_Exposed_Lower_leg	2	../summary/WH_GTEx/GAL3ST2.Skin_Sun_Exposed_Lower_leg	AUTO
