feature_id	chromosome	summary_file	sample_size
CD200R1.5103_30	3	../summary/WH_Iceland/CD200R1.5103_30	AUTO
CLIC4.15314_49	1	../summary/WH_Iceland/CLIC4.15314_49	AUTO
CSF3.4840_73	17	../summary/WH_Iceland/CSF3.4840_73	AUTO
DLL4.3305_6	15	../summary/WH_Iceland/DLL4.3305_6	AUTO
DOK2.19578_19	8	../summary/WH_Iceland/DOK2.19578_19	AUTO
ECM1.3366_51	1	../summary/WH_Iceland/ECM1.3366_51	AUTO
EFNA4.2614_28	1	../summary/WH_Iceland/EFNA4.2614_28	AUTO
ERBB3.2617_56	12	../summary/WH_Iceland/ERBB3.2617_56	AUTO
HEXIM1.15596_7	17	../summary/WH_Iceland/HEXIM1.15596_7	AUTO
ICAM1.4342_10	19	../summary/WH_Iceland/ICAM1.4342_10	AUTO
ICAM5.8245_27	19	../summary/WH_Iceland/ICAM5.8245_27	AUTO
IL18R1.14079_14	2	../summary/WH_Iceland/IL18R1.14079_14	AUTO
IL1R1.2991_9	2	../summary/WH_Iceland/IL1R1.2991_9	AUTO
IL1R2.14133_93	2	../summary/WH_Iceland/IL1R2.14133_93	AUTO
IL1RL1.4234_8	2	../summary/WH_Iceland/IL1RL1.4234_8	AUTO
IL1RL2.2994_71	2	../summary/WH_Iceland/IL1RL2.2994_71	AUTO
IL22.2778_10	12	../summary/WH_Iceland/IL22.2778_10	AUTO
IL2RA.3151_6	10	../summary/WH_Iceland/IL2RA.3151_6	AUTO
IL6R.15602_43	1	../summary/WH_Iceland/IL6R.15602_43	AUTO
IL7R.5089_11	5	../summary/WH_Iceland/IL7R.5089_11	AUTO
KYNU.4559_64	2	../summary/WH_Iceland/KYNU.4559_64	AUTO
LAYN.2635_61	11	../summary/WH_Iceland/LAYN.2635_61	AUTO
LMAN2.9468_8	5	../summary/WH_Iceland/LMAN2.9468_8	AUTO
MDH1.3853_56	2	../summary/WH_Iceland/MDH1.3853_56	AUTO
MMP12.4496_60	11	../summary/WH_Iceland/MMP12.4496_60	AUTO
MMP19.6425_87	12	../summary/WH_Iceland/MMP19.6425_87	AUTO
NFKB1.9869_28	4	../summary/WH_Iceland/NFKB1.9869_28	AUTO
PDCD1.15623_1	2	../summary/WH_Iceland/PDCD1.15623_1	AUTO
PGLYRP3.10561_5	1	../summary/WH_Iceland/PGLYRP3.10561_5	AUTO
PLAU.4158_54	10	../summary/WH_Iceland/PLAU.4158_54	AUTO
PMVK.12450_42	1	../summary/WH_Iceland/PMVK.12450_42	AUTO
S100A7.7916_10	1	../summary/WH_Iceland/S100A7.7916_10	AUTO
TAPBPL.6364_7	12	../summary/WH_Iceland/TAPBPL.6364_7	AUTO
TLR1.16324_38	4	../summary/WH_Iceland/TLR1.16324_38	AUTO
TNFRSF14.5352_11	1	../summary/WH_Iceland/TNFRSF14.5352_11	AUTO
TNFRSF6B.5070_76	20	../summary/WH_Iceland/TNFRSF6B.5070_76	AUTO
